Objektname;Gerätemodell;Adresse + Port;Geräteinstanznr.;Beschreibung
Desigo CC Workstation 1049621;Desigo CC;172.16.13.198;1049621;Desigo CC BACnet Workstation Device
00DB302;PXC3.E16A-2;172.16.13.14;3148814;Automationsstation
01DB301;PXC3.E16A-2;172.16.13.22;3148822;Automationsstation
00DA302;PXC3.E75A-2;172.16.13.13;3148813;Automationsstation
01DA301;PXC3.E75A-2;172.16.13.21;3148821;Automationsstation
02DB301;PXC3.E16A-2;172.16.13.32;3148832;Automationsstation
01DA303;PXC3.E75A-2;172.16.13.25;3148825;Automationsstation
01DA302;PXC3.E75A-2;172.16.13.23;3148823;Automationsstation
01DB302;PXC3.E16A-2;172.16.13.24;3148824;Automationsstation
00DB301;PXC3.E16A-2;172.16.13.12;3148812;Automationsstation
BNR03;PXG3.M-1;172.16.13.1;2100225;PXG Router 03 Geb. C
02DB302;PXC3.E16A-2;172.16.13.34;3148834;Automationsstation
AS_C100 02PC310;PXC4.E16-2;172.16.13.53;681013;M-Bus Zähler EG/1.OG
AS_C100 02PD310;PXC4.E16-2;172.16.13.54;681014;M-Bus Zähler 2.OG/3.OG
00DA304;PXC3.E75A-2;172.16.13.16;3148816;Automationsstation
CP_B001;PXM40.E;172.16.15.15;681007;Control Point CP_B001.B
CP_B200;PXM40.E;172.16.15.24;681005;Control Point B200
BNR04;PXG3.M-1;172.16.14.1;2101249;PXG Router 04 Geb D
BNR01;PXG3.M-1;172.16.11.1;2098177;PXG Router 01 Geb. A
AS_C100 02CENF310;PXC5.E003;172.16.13.55;681017;Automation station 05
BNR02;PXG3.M-1;172.16.12.1;2099201;PXG Router 02 Geb. B
BACnet-Edge-Router-5000;Connect X300/X200;172.16.15.252;5000;BACnet Edge Router 1.5
BNR05;PXG3.M-1;172.16.15.1;2098178;PXG Router 05 Primäranlagen
00DB103;PXC3.E16A-2;172.16.11.15;3146767;Automationsstation
02DB103;PXC3.E16A-2;172.16.11.35;3146787;Automationsstation
02DA102;PXC3.E75A-2;172.16.11.33;3146785;Automationsstation
00DB101;PXC3.E75A-2;172.16.11.12;3146764;Automationsstation
02DB101;PXC3.E16A-2;172.16.11.32;3146784;Automationsstation
01DB103;PXC3.E16A-2;172.16.11.25;3146777;Automationsstation
03DB103;PXC3.E16A-2;172.16.11.45;3146797;Automationsstation
00DB202;PXC3.E16A-2;172.16.12.15;3147791;Automationsstation
02DA202;PXC3.E75A-2;172.16.12.33;3147809;Automationsstation
00DA110;PXC3.E75A-2;172.16.11.51;3146803;Automationsstation
00DA203;PXC3.E75A-2;172.16.12.16;3147792;Automationsstation
01DA103;PXC3.E75A-2;172.16.11.24;3146776;Automationsstation
03DA201;PXC3.E75A-2;172.16.12.41;3147817;Automationsstation
02DA201;PXC3.E75A-2;172.16.12.31;3147807;Automationsstation
03DB201;PXC3.E16A-2;172.16.12.42;3147818;Automationsstation
01DB401;PXC3.E16A-2;172.16.14.22;3149846;Automationsstation
03DA103;PXC3.E75A-2;172.16.11.44;3146796;Automationsstation
03DA202;PXC3.E75A-2;172.16.12.43;3147819;Automationsstation
02DB401;PXC3.E16A-2;172.16.14.32;3149856;Automationsstation
00DA201;PXC3.E75A-2;172.16.12.11;3147787;Automationsstation
00DA402;PXC3.E75A-2;172.16.14.13;3149837;Automationsstation
AS_B100 02PD210;PXC4.E16-2;172.16.12.54;681012;M-Bus Zähler 2.OG/3.OG
00DA401;PXC3.E75A-2;172.16.14.11;3149835;Automationsstation
