Objektname;Gerätemodell;Firmwareversion;Adresse + Port;Geräteinstanznr.;SW Version Applikation;Beschreibung;Subnetzmaske;Router
00DB302;PXC3.E16A-2;v01.21;172.16.13.14;3148814;"AAS-20:SU=SiUn;CPD=2025-07-24 11:14:16;";Automationsstation;;
BNR03;PXG3.M-1;v01.21;172.16.13.1;2100225;;PXG Router 03 Geb. C;;
01DB302;PXC3.E16A-2;v01.21;172.16.13.24;3148824;"AAS-20:SU=SiUn;CPD=2025-07-16 13:55:53;";Automationsstation;;
01DB301;PXC3.E16A-2;v01.21;172.16.13.22;3148822;"AAS-20:SU=SiUn;CPD=2025-07-16 14:34:28;";Automationsstation;;
02DA301;PXC3.E75A-2;v01.21;172.16.13.31;3148831;"AAS-20:SU=SiUn;CPD=2025-07-30 11:10:43;";Automationsstation;;
02DB301;PXC3.E16A-2;v01.21;172.16.13.32;3148832;"AAS-20:SU=SiUn;CPD=2025-05-20 23:11:44;";Automationsstation;;
01DA303;PXC3.E75A-2;v01.21;172.16.13.25;3148825;"AAS-20:SU=SiUn;CPD=2025-07-16 13:55:47;";Automationsstation;;
02DB302;PXC3.E16A-2;v01.21;172.16.13.34;3148834;"AAS-20:SU=SiUn;CPD=2025-05-20 23:12:13;";Automationsstation;;
01DA302;PXC3.E75A-2;v01.21;172.16.13.23;3148823;"AAS-20:SU=SiUn;CPD=2025-08-14 11:11:49;";Automationsstation;;
02DA302;PXC3.E75A-2;v01.21;172.16.13.33;3148833;"AAS-20:SU=SiUn;CPD=2025-07-28 13:58:40;";Automationsstation;;
AS_C100 02PD310;PXC4.E16-2;02.21.194.29;172.16.13.54;681014;"AAS-30:SU=SiUn;CPD=2025-07-29 12:23:42;";M-Bus Zähler 2.OG/3.OG;;
00DA310;PXC3.E75A-2;v01.21;172.16.13.51;3148851;"AAS-20:SU=SiUn;CPD=2025-07-30 10:41:35;";Automationsstation;;
CP_B001;PXM40.E;02.21.194.25;172.16.15.15;681007;"AAS-30:SU=SiUn;CPD=2024-11-11 09:51:14;";Control Point CP_B001.B;;
BNR04;PXG3.M-1;v01.21;172.16.14.1;2101249;;PXG Router 04 Geb D;;
CP_B200;PXM40.E;02.21.194.25;172.16.15.24;681005;"AAS-30:SU=SiUn;CPD=2024-11-08 07:35:30;";Control Point B200;;
02DA303;PXC3.E75A-2;v01.21;172.16.13.35;3148835;"AAS-20:SU=SiUn;CPD=2025-07-16 12:11:18;";Automationsstation;;
BNR01;PXG3.M-1;v01.21;172.16.11.1;2098177;;PXG Router 01 Geb. A;;
BNR02;PXG3.M-1;v01.21;172.16.12.1;2099201;;PXG Router 02 Geb. B;;
AS_C100 02CENF310;PXC5.E003;02.21.194.29;172.16.13.55;681017;"AAS-30:SU=SiUn;CPD=2025-09-24 12:43:22;";Automation station 05;;
BNR05;PXG3.M-1;v01.21;172.16.15.1;2098178;;PXG Router 05 Primäranlagen;;
03DA103;PXC3.E75A-2;v01.21;172.16.11.44;3146796;"AAS-20:SU=SiUn;CPD=2025-07-16 08:25:51;";Automationsstation;;
03DA202;PXC3.E75A-2;v01.21;172.16.12.43;3147819;"AAS-20:SU=SiUn;CPD=2025-07-16 08:39:48;";Automationsstation;;
BACnet-Edge-Router-5000;Connect X300/X200,Connect Software;BER-1.5;172.16.15.252;5000;1.5.3;BACnet Edge Router 1.5.3;;
00DB202;PXC3.E16A-2;v01.21;172.16.12.15;3147791;"AAS-20:SU=SiUn;CPD=2025-05-20 22:27:50;";Automationsstation;;
03DB101;PXC3.E16A-2;v01.21;172.16.11.42;3146794;"AAS-20:SU=SiUn;CPD=2025-07-16 08:25:59;";Automationsstation;;
02DA110;PXC3.E75A-2;v01.21;172.16.11.52;3146804;"AAS-20:SU=SiUn;CPD=2025-07-30 09:45:18;";Automationsstation;;
01DB401;PXC3.E16A-2;v01.21;172.16.14.22;3149846;"AAS-20:SU=SiUn;CPD=2025-07-16 14:21:59;";Automationsstation;;
01DA102;PXC3.E75A-2;v01.21;172.16.11.23;3146775;"AAS-20:SU=SiUn;CPD=2025-07-16 13:17:17;";Automationsstation;;
