Objektname;Gerätemodell;Hersteller;Firmwareversion;Adresse + Port;Geräteinstanznr.;SW Version Applikation;Beschreibung
Desigo CC Workstation 9998;Desigo CC;Siemens;8.0;172.16.0.10;9998;8.09;Desigo CC BACnet Workstation Device
Projekt_10900001L Sonderaustellung;E-DDC3.3;SE-Elektronic;03.07.13;172.16.0.60;2001;UNVERSIONED @ Tue Jul  9 10:15:25 2024;RLT Anlage Sonderaustellung
LTAPX'AS009;PXC100-E.D / HW=V1.00;Siemens Building Technologies;FW=V6.00.320 / SBC=11.01 / FLI=06.00 / BBI=13.06 / LWI=01.10 / PMC=01.30 / STF=01.20;172.16.0.70;2098179;1\DE\2\LTA Mannheim\AS009;PH10.19 Seminar u Werkraum 10.OG
Projekt_10900002L;E-DDC3.3;SE-Elektronic;03.03.26;172.16.0.61;2002;u00.00.01;RLT
LTAPX'AS002;PXC200-E.D / HW=V3.00;Siemens Building Technologies;FW=V6.00.124 / SBC=11.01 / FLI=06.00 / BBI=13.06 / LWI=01.10 / PMC=01.30 / STF=01.20;172.16.0.76;2098181;1\DE\2\LTA Mannheim\AS002;KB01.14 L01/20/30/40/50/51 Hzg
LTAPX'AS006;PXC100-E.D / HW=V3.00;Siemens Building Technologies;FW=V6.00.124 / SBC=11.01 / FLI=06.00 / BBI=13.06 / LWI=01.10 / PMC=01.30 / STF=01.20;172.16.0.67;2098183;1\DE\2\LTA Mannheim\AS006;AH01.56 WT / Heizkreis
LTAPX'AS019;PXC100-E.D / HW=V3.00;Siemens Building Technologies;FW=V6.00.030 / SBC=11.01 / FLI=06.00 / BBI=13.06 / LWI=01.10 / PMC=01.30 / STF=01.20;172.16.0.83;2098194;1\DE\2\LTA Mannheim\AS019;AH01.35 Nord Dampfmaschine / Elektro
LTAPX'AS008;PXC100-E.D / HW=V3.00;Siemens Building Technologies;FW=V6.00.123 / SBC=11.01 / FLI=06.00 / BBI=13.06 / LWI=01.10 / PMC=01.30 / STF=01.20;172.16.0.75;2098178;1\DE\2\LTA Mannheim\AS008;AH11.07 L60
LTAPX'AS007;PXC100-E.D / HW=V3.00;Siemens Building Technologies;FW=V6.00.123 / SBC=11.01 / FLI=06.00 / BBI=13.06 / LWI=01.10 / PMC=01.30 / STF=01.20;172.16.0.74;2098180;1\DE\2\LTA Mannheim\AS007;AH00.02 L60 / H11
LTAPX'AS021;PXC50-E.D / HW=V3.00;Siemens Building Technologies;FW=V6.00.205 / SBC=11.01 / FLI=06.00 / BBI=13.06 / LWI=01.10 / PMC=01.30 / STF=01.20;172.16.0.80;2098187;1\DE\2\LTA Mannheim\AS021;AH03.05 Elektro
